,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,适宜人群,装修描述,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
34,房东诚心出售 看房提前预约 满五,140万,13115,钟楼区五星,翡翠湾,3室2厅1厨2卫,低楼层 (共20层),106.75㎡,跃层,88.14㎡,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-11-21,商品房,2010-02-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,地铁口BRT勤业，翡翠湾复式两层，户型好，采光好。,,户型方正，格局分布合理，空间感好，通透性强，居住舒适 2，楼层位置不影响采光， 3，2个卧室朝南，一卧室带大阳台，客厅带阳台显客厅宽敞 4，全屋主功能间都带有窗户，明厨明卫，更响亮。,1、 契税： 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％. 2、 增值税： 满二年不论面积全免、 不满二年收全额的5％、 3、个人所得税： 满二年不满5年1％、 满五免个人所得税 一个点个税,距离湿地公园仅1800米，距离钟楼吾悦直线距离仅1500米，距离大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁5千米，出行方便 小区门口自带中型生活市场，出入交通便利,,,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。, 2，小区成熟，购物交通便利，上学近，步行就可到达 3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。",,,,,,,
35,芦墅星苑旁，锦江丽都南区，顶楼复式，阳光房大露台,266万,13129,钟楼区五星,锦江丽都花园南区,5室2厅1厨2卫,高楼层 (共11层),202.62㎡,复式,177.13㎡,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-11-16,商品房,2015-05-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，顶楼复式，适合需要多个房间的家庭",,"距离五星公园仅800米，距离钟楼吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场常鲸和乐瑞家，多种品牌小吃，购物和生活都很便利。",,房子为商品房，满2年 ，面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,,,,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,042452494585,芦墅星苑旁，锦江丽都南区，顶楼复式，阳光房大露台，全天采光好,,,,
36,龙湖天街 高成莱茵  勤业六村 电梯房 好房,160万,9228,钟楼区五星,勤业六村,8室3厅1厨3卫,高楼层 (共6层),173.4㎡,复式,暂无数据,板楼,南,混合结构,精装,暂无数据,无,暂无数据,2023-06-26,商品房,1999-08-09,普通住宅,满五年,共有,无抵押,已上传房本照片,高楼层，视野开阔，采光充足，交通便利,,楼层好，采光充足，配套齐全，四室二厅两卫。顶复，客厅带阳台，视野开阔,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,房东诚心出售，诚心出售，价格可以再谈，欢迎看房，随时恭候，本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为准。产权清晰，无任何经济纠纷，请放心考虑。,,,,,,,,,,
37,总高11层花园洋房 中高楼层 精装修 1梯1户,460万,25447,钟楼区五星,龙湖龙誉城紫宸,4室2厅1厨2卫,中楼层 (共11层),180.77㎡,平层,155.09㎡,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-13,商品房,2020-08-21,普通住宅,满两年,非共有,有抵押,已上传房本照片,龙湖龙誉城紫宸位于钟楼区勤业板块，龙湖地产开发打造，2017年竣工交付。整体建筑风格简约，外观方正，分2梯4户高层和1梯1户花园洋房,容J率2.85，小区分为34层高层和11层小洋房。户型分布为89小三房，110平左右三房，138平左右四房以及175平左右洋房四房。绿H率35%，环境较好，刚改为主,此房满5 个税：首套1%，二套1%， 契税： 90平以下首套1%，二套1.5%，三套及以上3% 90平以上首套1.5%，二套2%，三套及以上3%,,,,,,,,042450890448,总高11层花园洋房 中高楼层 精装修 1梯1户,,,,
38,交通方便，环境优美。视野开阔。小区是新改造.,78万,11674,钟楼区五星,花园新村,3室1厅1厨1卫,高楼层 (共5层),66.82㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-11-24,商品房,2015-02-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,小区边生活设施齐全、菜市场、银行、交通便捷；小区内设有健身器材和社区活动所，可供小区居民使用； 小区内停车位充足，建有地上停车场,,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,,042487703275,交通方便，环境优美。视野开阔。小区是新改,,,,
39,新城 首 府245平 高层 全天采光 从未入住 满五唯 一,680万,27509,钟楼区五星,新城首府一期,4室2厅1厨3卫,中楼层 (共36层),247.2㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2020-03-24,商品房,2013-03-06,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,新城首 府245平 一期高层 全天采光 从未入住 满五唯 一,小区环境优雅 绿化覆盖率高，楼栋清晰分明 坐落有序，现场体验效果更加明显,南北户型 采光很好 大开间，大阳台，功能分区明显，私密感强， 欢迎随时预约看房,,火车站，银行，菜场，*市，吾悦国际，万达，奥体，市政府，政务服务 生活交通配套齐全,,,,,,,,,,,
40,新市路，西新桥，金禧园，6楼复式两层明亮，带大露台,138万,8621,钟楼区五星,金禧园南区,4室2厅1厨2卫,高楼层 (共6层),160.09㎡,复式,暂无数据,暂无数据,东南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-01-11,商品房,2015-01-13,普通住宅,未满两年,共有,无抵押,已上传房本照片,新市路，西新桥，金禧园，6楼复式两层明亮，带大露台,,1，户型方正，格局分布合理，空间感好，通透性强，居住舒适 2，楼层位置不影响采光,房子为商品房，满2年，免增值附加税 面积大于90平， 首套房为1.5%，二套房契税为2% 三套及以上为3%,距离五星公园仅1000米，距离钟楼吾悦广场直线距离仅3000米，距离大卖场仅800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便 小区门口自带中型生活市场，烟酒店等,,,,"1，小区门口就有幼儿园，接娃方便。, 2，小区成熟，购物交通便利，上学近，步行就可到达 3，适合喜欢带露台，喜欢阳光充足的客户。",,,,,,,
41,精装修 3房2厅  勤业板块 好比家 交通便利,160万,13334,钟楼区五星,华府家园,3室2厅1厨2卫,高楼层 (共11层),120㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-04-25,商品房,2020-01-29,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,精装修 拎包即住  看房方便 业主诚心出售复 式带露台  ..,小区环境好 居住舒适安静 出门即有公交 菜场 银行 美食等 人文素质好 乐于助人 团结友善,,,配套设施齐全，美食一条街和五星公园，大润发，生活方便，环境好,,,出行方便，直线500米地铁2号线 小区门口便是五星公园，大润发，金地假日广场，公交车站台,,,,,,,,
42,交通便利 出行方便  业主诚意售房,178万,15838,钟楼区五星,星悦花都,3室2厅1厨2卫,中楼层 (共34层),112.39㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-05-13,商品房,2021-01-21,普通住宅,暂无数据,共有,有抵押 70万元 工商银行,已上传房本照片,楼层佳 采光好  业主诚意售房,小区环境优雅，绿化好，配套成熟，居住舒适。人文素养好，宁静和谐，好环境总会给人带来好心情。,,1.契税:首套房90平以下 1%，90平以上1.5%；二套房90平以下1%，90平以上2%；三套房不论面积统一3%。2.增值税： 满两年不论面积全免，不满二年收全额的5.6%。3.个人所得税：满两年1%，满五唯一免个人所得税。,,房东诚心出售，价格可以再谈，欢迎看房，随时恭候，本公司经过层层筛选，产权清晰，无任何经济纠纷，请放心考虑。,,,,,,,,,,
43,凯纳商务广场大户型出售！看房方便！有燃气！出行方便,238万,10545,钟楼区五星,凯纳商务广场,4室1厅1厨3卫,高楼层 (共60层),225.71㎡,平层,162㎡,塔楼,东南,钢混结构,精装,六梯二十三户,有,暂无数据,2022-03-04,商品房,2018-03-08,商住两用,暂无数据,非共有,无抵押,已上传房本照片,凯纳商务广场大户型出售！看房方便！有燃气！出行方便,,,房子税费是以家庭为单位的，如果想了解更多税费，可联系房源经纪人，或者看看为您推荐的相似好房！,,多余房产需要出售的，全屋采光！需要卖掉这套房子再买的，有缘人来！,,,房子有电梯，出行方便！看房方便！老少皆宜！物业保安管理严格！,,,,民水,民电,2.45元/m3,
44,龙湖天街旁 地铁口 龙湖龙誉城尚品 三房两卫 诚意出售,185万,16712,钟楼区五星,龙湖龙誉城尚品,3室2厅1厨2卫,低楼层 (共34层),110.7㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-02,商品房,2020-07-23,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房满二，产权清晰，无纠纷，中间楼层，看房方便。,,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2%，三套房及以上，成交价的3%；2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",娱乐：龙湖天街，勤业美食街，运河五号；公园：青枫公园；交通：出小区有地铁2号线，多条BRT路线，小区西边上高架方便。,,,,适宜年轻人做婚房、一家三口居住、父母养老，小区配套齐全，交通便利。,,,,,,,
45,此房70年产权水电价低电翻新装修了可办营业执照,45万,11463,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,高楼层 (共60层),39.26㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,精装,六梯二十三户,有,暂无数据,2023-10-24,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,此房70年产权水电价低电翻新装修了可办营业执照,,小户型，一眼看到底了，方方正正，下午也会有太阳，临小路，安安静静的,,,,,处于关河路和通江路的交接处，19条公交线路环伺，三公里内有常州火车站，龙城高架,,房东精装了一年了，现在是出租的，全部翻新重新装修的，现代风格了,,,民水,民电,2.45元/m3,
46,龙湖天街旁地铁口五星星韵城小三房 3开间朝南 满2年,145万,15796,钟楼区五星,五星星韵城南区,3室2厅1厨1卫,高楼层 (共34层),91.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-11,商品房,2020-09-14,普通住宅,满两年,共有,无抵押,已上传房本照片,龙湖天街，次新房，新城悦物业，户型方正，通风性好。,五星星韵城占地250亩，总建60万方，18-34层的高层住宅。坐拥勤业商圈、酒店、广场、菜场等生活配套一应俱全，五星公园、青枫公园绿肺环抱畅享鲜氧生活，邻龙江高架、多公交覆盖、 2号线瞬间畅达全城。新古典主义建筑风格，赋予沉稳贵气，彰显典雅气质。,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2%； 2、个税（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%",公交：B23、Y1星港路龙江路站，公交258五星平岗站；轨交：地铁2号线五星站;商场：龙湖天街、金地假日广场、大润发勤业店、勤业菜场其他：五星公园、青枫公园、运河景观带...,,,,,,,,,,,
47,关河路西新桥旁北新巷  复式2层  拎包入住  诚心出售,199万,11551,钟楼区五星,北新巷小区,4室2厅1厨2卫,中楼层 (共6层),172.28㎡,复式,暂无数据,板塔结合,南 北,砖混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-21,商品房,2014-04-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区很安静 复式2层 非顶楼 楼上楼下动静分离 拎包入住,小区位于芦墅板块，由常州黑牡丹开发，建于1998年，共23栋，总户数497户，面积56-174平不等。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,东至火车站 南至吾悦国际 北至新北万达商圈 brt 公交车线路全 出行方便,,,,,,,,
