,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,装修描述,权属抵押,户型介绍,售房详情,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
30,视野宽阔，采光充足，配套齐全，交通便利,105万,11423,钟楼区西林,泰盈八千里,2室2厅1厨1卫,低楼层 (共22层),91.92㎡,平层,71.2㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-12-29,商品房,2013-10-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,视野宽阔，采光充足，配套齐全，交通便利。。。。。。。,"税费解析：
首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴",幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库。,,,,,,,,,,
31,路劲精装三房，采光好，拎包即住,110万,12401,钟楼区西林,路劲城市花园,3室2厅1厨1卫,高楼层 (共34层),88.69㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-31,商品房,2021-04-06,普通住宅,满两年,非共有,无抵押,已上传房本照片,路劲精装三房，采光好，拎包即住,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。，内设服务大厅、警务室、活动场所、便民服务.,,,"：
格局分布合理，格局好，通透性强，居住舒适；视野开阔，采光透亮",,,,,,,
32,泰盈小高楼层  视野开阔  采光充足  交通便利,196万,16021,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共22层),122.34㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-02-12,商品房,2021-02-03,普通住宅,暂无数据,共有,有抵押 105万元,已上传房本照片,此房户型空间紧凑，布局合理，楼层好、视野宽阔、采光充足,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。 房主自荐(业主对房源的描述),,,,客厅宽敞大方，明亮通透，采光效果好，使用率高。视野宽阔，舒适安静 适宜居住,,,,,,,
33,泰盈八千里  洋房底复   房东诚售,430万,11417,钟楼区西林,泰盈八千里,4室2厅1厨3卫,低楼层 (共2层),376.65㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,两梯一户,有,暂无数据,2023-07-23,商品房,2021-09-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,位置好，得房率高， 保养新 户型方正.采光无遮挡，..,税费解析： 1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,配套：配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区环境优美，绿树成荫，出则繁华入则安静，里面有健身设施和小型儿童游乐场所,,,,,,,,,,
34,路劲城市花园 三房两卫 精装楼层好 采光佳 视野好,148万,13665,钟楼区西林,路劲城市花园,3室2厅1厨1卫,高楼层 (共34层),108.31㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-02-27,商品房,2018-04-27,普通住宅,满五年,共有,有抵押,已上传房本照片,位置好，得房率高， 保养新 户型方正.采光无遮挡,1、契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2.个税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
35,路劲精装三房，满五不唯一，楼层佳，采光好,198万,15968,钟楼区西林,路劲城市花园,3室2厅1厨2卫,低楼层 (共32层),124㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-01,商品房,2020-07-01,普通住宅,暂无数据,共有,有抵押,已上传房本照片,"小区介绍：
小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。，内设服务大厅、警务室、活动场所、便民服务.",,,,"户型介绍：
格局分布合理，格局好，通透性强，居住舒适；视野开阔，采光透亮",,,"税费解析：
契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税",,,042449470204,路劲精装三房，满五不唯一，楼层佳，采光好,,,
36,92平三房！非一楼！看房有钥匙！低总价！,130万,14071,钟楼区西林,路劲城市花园,3室1厅1厨1卫,低楼层 (共34层),92.39㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,2022-06-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 45万元,未上传房本照片,简装房，，次新房，满二，位置好，得房率高,契税：首套房90M以下1％、90M以上 1.5％二套房90M以下1％、90M以上2％三套房不论面积统一3％.2.税：满二年不论面积全免、不满二年收全额的5.6％、3、个人所得税：满二年不满5年1％,配套完善 交通便利 小区物业好24小时安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,路劲城市主场作为路劲地产钟楼板块的先锋部队，无论房屋质量、小区绿化、物业管理都是按照总公司的标准执行，高标准、高品质、早买早省心。,,,,,,,,,,
37,楼层好，采光足，设施齐全，交通便利,53万,9126,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,中楼层 (共14层),58.08㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯三十户,有,暂无数据,2022-05-02,商品房,2020-05-08,普通住宅,暂无数据,非共有,有抵押 客户偿还,已上传房本照片,此房满二，朝南精装，楼层好，采光充足，配套设施齐全,"房子为商品房
契税：首套房90平方以下1%，90平方以上1.5%
          二套房90平方以下1%，90平方以上2%
         三套及以上不论面积统一3%。
房子满两年可免征增值税，不满两年按5.3%征收
满五唯一免征个人所得税，其他均按金额的1%征收。",,,,家电齐全：空调，冰箱，油烟机······房屋空置，精装可拎包入住，厨具卫具保养良好。,,一室一厅一厨一卫，户型方正，高楼层，采光好，塔楼，钢筋混凝土结构，有电梯，有车位。,,,,,,,
38,八千里好房，房东急售，价格可谈，有车位,125万,13368,钟楼区西林,泰盈八千里,3室2厅1厨1卫,高楼层 (共32层),93.51㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯五户,有,暂无数据,2023-02-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,视野宽阔，采光充足，配套齐全，交通便利,,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国农业银行，中国邮政银行，江南农村银行。公园：西林公园,东临龙江路高架，东边就是公交站台，北边就是常州BRT，西边是公交枢纽,小区内环境优美，干净整洁，楼栋分布均匀，24小时安保，地下停车位,,,,,,,,,,
39,泰盈八千里  满五唯一 精装修 采光充足户型好 诚心卖,185万,13786,钟楼区西林,泰盈八千里,4室2厅1厨2卫,高楼层 (共18层),134.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五唯一，精装修，芝华士真皮沙发，真皮床，地暖，品牌家电,,幼儿园：西林幼儿园：大学商场：万泰广场、上海家具大卖场医院：西林医院邮局：中国邮政银行：江南农村银行其他：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米,,,,1、客厅.宽敞.大方.使用率高。2、卧室温馨舒适.搭配心怡。3、厨房设施齐全.让美味来的更加轻松。,,,,,,,
40,泰盈八千里，精装修3房2卫，楼层好，房东诚心出售,164万,14182,钟楼区西林,泰盈八千里,3室2厅1厨2卫,高楼层 (共31层),115.64㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-08-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,精装修三房两卫，满五唯一，视野采光无遮挡，配套齐全,,儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米,泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。,,,,,,,,,,
41,联排别墅，使用面积大，居住环境好。,600万,15000,钟楼区西林,泰盈八千里,5室3厅2厨4卫,低楼层 (共4层),400㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，格局合理，通透性强，居住舒适，采光透.,首套房＜90平1％、 ＞90平 1.5％ ；二套房 ＜90平1％、 ＞90平2％ ；三套房不论面积统一3％. ；满二年不论面积全免、不满二年收全额的5.6％,,,小区地理位置佳，绿化，居民素质高；有健身器材，自带游泳池，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,户型方正 小区地理位置佳，绿化，居民素质高；有健身器材，自带游泳池，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,,,,,
42,泰盈八千里精装修 底复  诚心出售。。。,300万,11812,钟楼区西林,泰盈八千里,7室3厅1厨3卫,低楼层 (共6层),254㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,满五唯一，精装装修复式  野采光无遮挡 业主诚售,"税费解析：
1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。",,"交通出行：
公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。","小区介绍：
泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。",,,,,,,,,,
