,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,交通出行,房源核验码,查询房管备案记录,售房详情,权属抵押,装修描述,适宜人群,别墅类型,用水类型,用电类型,燃气价格
32,户型格局好，优质户型，户型方正，通透明亮,88万,11225,钟楼区永红,荡下村,2室1厅1厨2卫,低楼层 (共2层),78.4㎡,跃层,暂无数据,平房,南,砖混结构,精装,暂无数据,无,暂无数据,2023-04-16,商品房,2019-09-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；
2.增值税：产证满2年免收增值税，未满2年征收5.6％；
 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,
33,路劲印象 配套齐全 中间楼层全天采光小三房！！,150万,16689,钟楼区永红,路劲城市印象,2室2厅1厨1卫,中楼层 (共30层),89.88㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-08-14,商品房,2017-12-04,普通住宅,暂无数据,非共有,有抵押 65.7万元 中国农业银行钟楼支行 客户偿还,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，配套成熟,,此房屋本人已实地勘察过户型格局采光视野都好属于本小区内热门户型房东诚心出售可随时找我看房我会根据您的实际需求给出专业的建议和更多的房源信息供您选择本公司房源充足期待您的光临,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
34,不靠高架 边户双阳台户型 楼层好 有钥匙看房方便,239万,18409,钟楼区永红,路劲城市印象,4室2厅1厨2卫,中楼层 (共34层),129.83㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-11-13,商品房,2020-09-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,不靠高架 边户双阳台户型 楼层好 有钥匙看房方便,次新小区，属于钟楼区朱夏墅版块，于2019年竣工。小区总共22栋，其中10栋洋房12栋高层。小区户型丰富，楼间距适中，采光充足,,,生活设施基本齐全，方圆1.5公里以内，菜场、公园、医院完全可以满足日常生活需要。区域内大规模配套已经进驻，雨润城综合体、宝龙城市广场、万泰广场等配套逐步完善,四周交通发达，拥有三横(清潭路、长江路、怀德南路)三纵（长江路、荆川-勤业南路、白云南路）便捷交通网。立体公交彰显价值，多路公交方便快捷，BRT2路便可直通市中。小区右靠龙江高架，南通湖塘，北达新北，摆脱老城拥挤道路，出行随心,,,,,,,,,,
35,花园南村西区精装二房朝南家具家电全留采光好,58万,8577,钟楼区永红,花园南村西区,2室1厅1厨1卫,高楼层 (共6层),67.63㎡,平层,暂无数据,板塔结合,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2022-02-12,商品房,2016-06-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,满五唯一，采光好，二房朝南，户型方正，诚意出售,,,,成熟社区，配套银行，小吃店，饭店，干洗店，便利店。多线路公交。,到家家爱家具城200米，到吾悦国际500米，到二号地铁站口300米，到泰富百货800米。,,,,,二房子是三年前重新装修的，一直没住，保养的很好，宽敞明亮，干净整洁。,,,,,
36,教科院精装 优质物业，出行方便,166万,14731,钟楼区永红,路劲城市印象,3室1厅1厨2卫,中楼层 (共34层),112.69㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,教科院精装 优质物业，出行方便,,"此房屋户型格局采光视野都好,属于本小区内热门户型.房东诚心出售.X价比高.","契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
37,采光充足 配套齐全  交通便利,178万,17282,钟楼区永红,香江庭院,3室2厅1厨1卫,中楼层 (共17层),103㎡,平层,84.02㎡,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-07-18,商品房,2009-07-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房户型方正 采光充足 配套完善 交通便利,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,,,,,,,,,,
38,花园洋房 采光佳 看房方便 诚心出售 看中可谈,430万,28508,钟楼区永红,路劲城市印象,3室2厅1厨2卫,中楼层 (共7层),150.84㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-04-22,商品房,2018-12-03,普通住宅,暂无数据,非共有,有抵押 178万元 中国邮政 客户偿还,已上传房本照片,洋房 得房率高 精装修，楼层好，采光好，使用面积大。,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；
2.增值税：产证满2年免收增值税，未满2年征收5.6％；
 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,
39,教科院附属学 陈渡新苑 电梯洋房 中间楼层,270万,17845,钟楼区永红,陈渡新苑,4室2厅1厨2卫,中楼层 (共11层),151.31㎡,平层,132.88㎡,板塔结合,南 北,钢混结构,精装,一梯两户,有,暂无数据,2022-05-07,商品房,2009-04-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,方正通透，电梯洋房 得房率高 采光好,小区地理位置佳，绿化好，居民素质高，小区有健身器材，活动场所。建有地下停车位，车位充足，二十四小时保安巡逻，菜场，商场，银行等配套设施齐全，生活方便快捷，交通便利。,,契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,小区成熟，荆川公园，皇粮浜湿地公园 教科院附和校区，商场，医院近在咫尺,,,,,,,,,,,
40,此房户型方正，通透明亮，阳台视野宽阔，采光很好..,270万,18750,钟楼区永红,西城格兰艺堡,4室2厅1厨1卫,高楼层 (共33层),144㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,两梯三户,有,暂无数据,2021-03-05,商品房,2021-04-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房户型方正，通透明亮，阳台视野宽阔，采光很好..,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免增值税，未满2年征收5.6％； 3、个税：产证满五年而且是..",小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等、,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,
41,路劲美居，二梯二户小高层，开发商精装 楼层好,320万,24381,钟楼区永红,城市中央美居,4室1厅1厨2卫,高楼层 (共17层),131.25㎡,平层,104.79㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-21,商品房,2020-10-10,普通住宅,暂无数据,共有,有抵押 159万元 农行 客户偿还,已上传房本照片,路劲美居，二梯二户小高层，开发商精装楼层好，随时看,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
42,路劲印象精装280多万3面院子200平方套内面积450平方,698万,38035,钟楼区永红,路劲城市印象,8室3厅1厨4卫,低楼层 (共8层),183.52㎡,跃层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-05-16,商品房,2017-05-02,普通住宅,暂无数据,共有,无抵押,已上传房本照片,路劲城市印象1.2楼地下室挑高5.8米品牌精装院很大,,,客户契税，首套房，90平方以下成交价的百1，90平以上成交价1.5.2套房以上成交价的百3，增值税产证满二年免收增值税，末满二年征收百5.6，个税产证满五年而且是一套房免个税同样满五年成交价的百1,清装院街。常州永红医院。西林公园。盛菊影儿园。怀德区花园，教科院附.中,,,,,,房子装修的很好全是用的品牌家俱家电。房子是负一层挑高1.至2层地下室车位直接到家门口很方便.另有二个产权车位,,,,,
43,嘉宏云顶 中间楼层 保养佳 诚意出售,147万,13516,钟楼区永红,嘉宏云顶,3室2厅1厨1卫,中楼层 (共21层),108.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2022-09-29,商品房,2017-07-19,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区环境优美，舒适安静，适宜居住，出门即有公交、菜场、银行、美食等，人文素养好，乐于助人，相处和谐。,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适.，厨房设施齐全，家用电器设施齐全。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,,,042481709002,此房保养佳，拎包入住，房东诚意出售，看房可约。,,,,,,,,
44,此房满五不唯一，简装，地段佳，交通方便,216万,13744,钟楼区永红,河阳花苑,2室2厅1厨2卫,中楼层 (共28层),157.16㎡,平层,150㎡,板楼,南,钢混结构,简装,两梯六户,有,暂无数据,2023-11-10,商品房,2017-07-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五不唯一，简装，地段佳，交通方便,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方.使用率高，采光好，楼层好，视野开阔，卧室温暖舒适、,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
45,荆川公园旁 格兰艺堡顶复电梯洋房 带露台,210万,15137,钟楼区永红,西城格兰艺堡,4室2厅1厨2卫,高楼层 (共9层),138.74㎡,复式,117.94㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-05,商品房,2010-05-13,普通住宅,暂无数据,共有,暂无数据,已上传房本照片,荆川公园旁 格兰艺堡顶复电梯洋房 带露台 小区环境优美,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,小区地理位置优越，交通便捷，近荆川公园和花园综合菜场和清潭综合市场,,,,,,,,,,,
46,钟楼区电梯房两房，小面积低总价，房东诚心出售,59万,9292,钟楼区永红,绿园,2室1厅1厨1卫,低楼层 (共17层),63.5㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯六户,有,暂无数据,2023-11-11,商品房,2017-10-27,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,122402034414,钟楼区电梯房两房，小面积低总价，房东诚心出售,,,,,,,,
