,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,装修描述,周边配套,交通出行,户型介绍,售房详情,权属抵押,别墅类型,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
32,君玺优质好房，房主诚心出售，价格好谈。,269万,20853,天宁区兰陵街道,九州新世界君玺,3室2厅1厨1卫,低楼层 (共30层),129㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-03,商品房,2016-03-12,普通住宅,暂无数据,共有,有抵押 58万元 业主自还,已上传房本照片,业主现诚心出售，证件齐，三房两厅 ，精装修。,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,到九洲新世界100米，到地铁一号线100米，到吾悦国际500米，到九洲农贸市场50米。,,,售房详情：业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子。,房东诚意出售，房主考虑售房置换，权属抵押：此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
33,兰陵尚品花园 边户楼层好 前面没有遮挡全天采光,167万,12035,天宁区兰陵街道,兰陵尚品花园四期,4室2厅1厨2卫,中楼层 (共30层),138.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,2012-10-15,普通住宅,满五年,共有,有抵押 100万元,已上传房本照片,兰陵尚品花园 边户楼层好 前面没有遮挡全天采光,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,位于兰陵成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,,,,,,,,,
34,弘阳上城 精装四室 户型方正 配套齐全 业主诚售,196万,15424,天宁区兰陵街道,弘阳上城,4室2厅1厨2卫,低楼层 (共27层),127.08㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-09,商品房,2017-02-20,普通住宅,暂无数据,共有,有抵押 60万元,已上传房本照片,南边通透格局 精装四房 交通便利 物业好 业主诚售 欢迎咨询,1.小区生活设施齐，商场、菜市场、银行等，交通便捷， 2.小区内有健身器材，小型篮球场，可供小区居民使用； 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%； 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。,,,,,,,,,,,
35,此房满屋唯一，双阳台楼层好，自住保养好,129万,14440,天宁区兰陵街道,兰庭,2室2厅1厨1卫,高楼层 (共28层),89.34㎡,平层,72.82㎡,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-19,商品房,2010-07-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,楼层好，视野开阔，采光无遮挡，出行交通方便，诚心出售,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,小区楼下有共享单车，和两个公交站台，门口公交有多条线路，可到达江南商场，火车站等，交通四通八达，小区门口即是环城主干道，可通往常州各个区域。,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透。 房子复式楼房，格局好，南北通风户型，全天采光，户型方正视野好，干湿分离，明厨明卫,,,,,,,,,
36,绿园爱舍精装三房中间楼层业主诚售看房方便,110万,9122,武进区兰陵街道,绿园爱舍南区,3室2厅1厨1卫,中楼层 (共11层),120.6㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-09-02,商品房,2020-12-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,绿园爱舍精装三房中间楼层业主诚售看房方便,小区环境优美，绿化成熟，适合居住，健身器材一应俱全，邻里关系友好,A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,,距离弘阳广场800米，万达商圈3000米，吾悦广场2500米，武进中医院，常州三院，易买得配套齐全生活方便,,,,,,,,,,,
37,弘阳上城二期3房精装修，房东诚心出售,182万,17575,天宁区兰陵街道,弘阳上城,3室2厅1厨1卫,高楼层 (共33层),103.56㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-24,商品房,2017-10-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,规划好 弘阳广场 河景楼 2017年交付 两梯三户 完全无遮挡,南京弘阳创立于1996年，主营业务涵盖商场运营、地产开发、物业服务等，致力于成为“受人尊敬的美好生活创造者”的综合性大型企业集团，在香港主板上市。弘阳上城是2018年交付，共19幢高层住宅，包含板楼、板塔结合、连廊板楼等建筑形式，多元丰富；物业.,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,弘阳上城配套13万方城市现象级商场---弘阳广场，规划3号、4号双DT 复兴换乘站，隶属天宁区，地处中吴大道长江路交汇处，往北钟楼区芯，往南武进区芯，往东天宁区芯，往西江苏理工，三足鼎立汇聚处...,,,,,,,,,,,
38,九洲新世界君玺开发商精装修全天采光看房随时价格可刀,229万,23420,天宁区兰陵街道,九州新世界君玺,3室1厅1厨1卫,高楼层 (共32层),97.78㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-19,商品房,2020-10-20,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利,,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,华润万象城，九州大润发，兰陵大润发，丽华大润发，凤凰公园，连锁酒店，蔷薇湿地公园，各大银行，各类小吃美食一应,,,主现诚心出售，证件齐，钥匙在店，欢迎看房，随时恭候，如看中房子，好谈,,,,,,,,
39,低楼层，户型格局好，优质户型，户型方正，通透明亮,118万,9450,天宁区兰陵街道,浦南广景苑,3室2厅1厨1卫,低楼层 (共6层),124.88㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-19,商品房,2017-10-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满五唯一为本小区实在房源环境优美，楼间开阔居住舒适性高,"小区环境优美,舒适安静适宜居住，出门即有公交、菜场、银行、商场、美食等，人文素养好，邻里乐于助人，相处和谐。",,,医疗、银行、菜场等配套完善，万达、武进吾悦、九洲新世界广场等商场便利。 医院：三院、中医院南院；银行：邮储、江南农村、工商银行； 菜场：大润发、浦南菜场！,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,
40,外滩壹号三区，精装带地暖，软装齐全拎包即 住价可议,203万,16139,武进区兰陵街道,外滩壹号花园三区,3室2厅1厨2卫,低楼层 (共16层),125.79㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-08,商品房,2021-06-11,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区地理位置优越，弘阳地产开发，小区全天保安，安全性高,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,小区边有助力脚踏车，多路公交车站台，贯通龙城南北，出行便捷 ，离市区和九州商圈距离较短。,,,,,,,,,,
41,弘阳燕澜湾 高层。目前小区姓架比罪糕的一套，诚意卖,160万,14353,天宁区兰陵街道,弘阳燕澜湾,3室2厅1厨2卫,高楼层 (共34层),111.48㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-08-29,商品房,2019-09-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,弘阳广场， 天宁板块内中吴大道旁 购物就在家门口，有弘阳购物广场,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,,022420666690,弘阳燕澜湾 3室2厅2卫 毛坯房  高层 采光好 诚心出售,,,
42,兰陵锦轩 边户楼层好没有遮挡全天采光看房方便有钥匙,170万,14070,天宁区兰陵街道,兰陵锦轩,3室1厅1厨2卫,高楼层 (共20层),120.83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-11-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,兰陵锦轩 边户楼层好没有遮挡全天采光看房方便有钥匙,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,位于兰陵成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,,,,,,,,,
43,国泰名都   产权清晰  看房方便  价格可谈,172万,13728,天宁区兰陵街道,国泰名都,3室1厅1厨2卫,高楼层 (共25层),125.3㎡,平层,95.7㎡,板塔结合,南 北,钢混结构,简装,两梯三户,有,暂无数据,2023-08-20,商品房,2011-11-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,医疗、银行、菜场等配套完善，万达、武进吾悦、九洲新世界广场等商场便利。 医院：三院、中医院南院；银行：邮储、江南农村、工商银行； 菜场：大润发、浦南菜场！,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,,,,,,022451419859,此房满五。户型周正，格局分布合理，通透性强，楼层好,,,
44,兰庭，3房2厅2卫，精装修，采光好，诚心出售价可谈,208万,16369,天宁区兰陵街道,兰庭,3室2厅1厨2卫,高楼层 (共28层),127.07㎡,平层,101.87㎡,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-02,商品房,2009-08-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房源为本小区实在房源，环境优美，楼间开阔，居住舒适性高。,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,小区楼下有共享单车，和两个公交站台，门口公交有多条线路，可到达江南商场，火车站等，交通四通八达，小区门口即是环城主干道，可通往常州各个区域。,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透。 房子复式楼房，格局好，南北通风户型，全天采光，户型方正视野好，干湿分离，明厨明卫。,,,,,,,,,
