,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,权属抵押,售房详情,交通出行,装修描述,别墅类型,适宜人群,房源核验码,查询房管备案记录
29,公园壹号三期！地铁口小区 精装新房出售 从未入住,110万,14212,经开区潞城,公园壹号花园,2室2厅1厨1卫,中楼层 (共18层),77.4㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-08-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,此房格局通透，户型方正，房东诚心出售，产权清晰，随时方便看房,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
30,急售牡丹招商公园学府三房 户型好地铁二号线,215万,22177,经开区潞城,牡丹招商·公园学府,3室2厅1厨2卫,中楼层 (共27层),96.95㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-24,商品房,2023-01-12,普通住宅,未满两年,共有,有抵押 客户偿还,已上传房本照片,此房户型好，户型位置好，房东诚心急卖。,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
31,房东诚心出售东方君开三房户型好看房方便,345万,25449,经开区潞城,东方君开,4室2厅1厨1卫,低楼层 (共7层),135.57㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-11,商品房,2023-04-17,普通住宅,未满两年,共有,有抵押,已上传房本照片,此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
32,此房户型好，户型位置好，房东诚心出售,260万,22343,经开区潞城,牡丹招商·公园学府,3室2厅1厨2卫,中楼层 (共27层),116.37㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-29,商品房,2023-01-19,普通住宅,未满两年,共有,有抵押 90万元,已上传房本照片,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,,,052440254236,此房户型好，户型位置好，房东诚心出售
33,牡丹招商学府精致好户型 采光好 价格可谈,265万,20933,经开区潞城,牡丹招商·公园学府,4室2厅1厨2卫,高楼层 (共18层),126.6㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型好，户型位置好，房东诚心出售,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松,,,,,,,,
34,高架旁公园畔生活舒适出行便利采光无遮挡,225万,22500,经开区潞城,美的云筑,3室2厅1厨1卫,低楼层 (共27层),100㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房南北通格局楼层好视野宽阔采光充足配套设施齐,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",小区地理位置好，交通、生活、健身、娱乐，都很方便，居住舒适。,,,门口就是高架，地铁口，距离校园，丁塘河湿地公园一路之隔，生活舒适交通便捷,,,,,
35,美的云筑 精装修交付三房采光好无遮挡 运河畔环境舒适,190万,16380,经开区潞城,美的云筑,3室2厅1厨2卫,低楼层 (共27层),116㎡,平层,暂无数据,暂无数据,北 南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房南北通格局楼层好视野宽阔采光充足配套设施齐,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",小区地理位置好，交通、生活、健身、娱乐，都很方便，居住舒适。,,,门口就是高架，地铁口，距离校园，丁塘河湿地公园一路之隔，生活舒适交通便捷,,,,,
36,此房格局通透，户型方正，房东诚心出售，看房方便，,110万,12348,经开区潞城,港龙.新港城,2室2厅1厨2卫,高楼层 (共33层),89.09㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-10-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，房东诚心出售，看房方便，楼层好。,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
37,公园壹号四期！楼层佳 视野开阔 阳光充足 产权清晰,180万,14019,经开区潞城,公园壹号四期,3室2厅1厨2卫,中楼层 (共33层),128.4㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-06-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，房东诚心出售，看房方便，看中价格小刀,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
38,港龙新港城！楼层佳 视野开阔 阳光足 随时看房,125万,14329,经开区潞城,港龙.新港城,2室2厅1厨2卫,低楼层 (共34层),87.24㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，出门就是地铁口，出行方便,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
39,·公园壹号！地铁口小区 楼层佳 前排无遮挡 看房方便,160万,14340,经开区潞城,公园壹号花园,3室2厅1厨1卫,高楼层 (共16层),111.58㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2021-09-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，通风好，房东诚心出售，产权清晰,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
