,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,税费解析,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,户型介绍,交通出行,用水类型,用电类型,售房详情,权属抵押,装修描述
141,太湖庄园精装修洋房 带南北院子 看房提前预约,145万,17470,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,低楼层 (共11层),83㎡,暂无数据,南,钢混结构,精装,,暂无数据,2023-10-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装修的房子，带南北院子，看房提前预约,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
142,"此房满二有钥匙采光好,出门就有公园",155万,20853,武进区雪堰镇,太湖香树花园,2室1厅1厨1卫,高楼层 (共4层),74.33㎡,暂无数据,东南,钢混结构,毛坯,,暂无数据,2023-09-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
143,交通便利，生活设施齐全，小区环境好,185万,12672,武进区雪堰镇,雪湖新苑,4室2厅1厨2卫,中楼层 (共6层),146㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-06-21,商品房,2017-03-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,交通便利，生活设施齐全，小区环境好,,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,板塔结合,暂无数据,暂无数据,小区，生活设施齐全，小区有健身器材，提供小区居民使用，小区有地面停车位,户型周正，格局分布，合理，空间感好，通透性强，居住舒适，朝向南北,,,,,,
144,湖景房  房东诚心出售 精装修,172万,15311,武进区雪堰镇,太湖庄园,3室2厅1厨2卫,中楼层 (共11层),112.34㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-01-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,适合度假养老居住使用，户型方正采光好有院子 出门可沿太湖漫步,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
145,"此房满二有钥匙采光好,出门就有公园",215万,12159,武进区雪堰镇,望湖名门,4室2厅1厨3卫,低楼层 (共5层),176.83㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-07-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
146,"此房满二有钥匙采光好,出门就有公园",88万,11114,武进区雪堰镇,雪湖家园,2室2厅1厨1卫,中楼层 (共10层),79.18㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2024-02-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
147,楼梯房，南北通透，户型方正，环境优美，使用率高，,108万,8781,武进区雪堰镇,望湖名门,3室2厅1厨2卫,中楼层 (共5层),123㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2024-02-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房配套设施齐全，交通便利,南北通透，户型方正",适合任何人居住，有电梯，环形跑道，可供小区居民散步，环境优美,,满两年不交增值税，不满两年交5.3的增值税，小于90平交一个点的契税，大于90平交1.5的契税,暂无数据,板塔结合,暂无数据,暂无数据,小区有环形跑道，可供小区人使用，内有地下和地面停车位，绿化环境优美,,,,,,,
148,"此房满二有钥匙采光好,出门就有公园",155万,20853,武进区雪堰镇,太湖香树花园,2室1厅1厨1卫,高楼层 (共4层),74.33㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
149,配套设施齐全，交通便利，楼层低，有电梯,95万,10675,武进区雪堰镇,望湖名门,2室2厅1厨1卫,低楼层 (共11层),89㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2024-01-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房配套设施齐全，交通便利，家有老人，楼层较低，有环型跑道，,适合任何人居住，有电梯，环形跑道，可供小区居民散步，环境优美,,满两年不交增值税，不满两年交5.3的增值税，小于90平交一个点的契税，大于90平交1.5的契税,暂无数据,板塔结合,一梯四户,有,小区有环形跑道，可供小区人使用，内有地下和地面停车位，绿化环境优美,,,,,,,
150,配套设施齐全，交通便利，楼层低，有电梯,95万,10327,武进区雪堰镇,悦欣庭院,1室1厅1厨1卫,低楼层 (共6层),92㎡,暂无数据,南 北,未知结构,简装,,暂无数据,2024-02-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房配套设施齐全，交通便利，家有老人，楼层较低，有环型跑道,适合任何人居住，有电梯，有环形跑道，可供小区居民散步，环境优美,,满两年不交增值税，不满两年交5.3的增值税，小于90平交一个点的契税，大于90平交1.5契,暂无数据,暂无数据,暂无数据,暂无数据,小区有环形跑道，可供人小区，使用内有地下停车位，和地面停车位，绿化环境优美,,,,,,,
151,满五唯一，南北通透，有钥匙，全天采光,105万,5073,武进区雪堰镇,阳光花园,4室2厅1厨2卫,高楼层 (共5层),207㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2023-12-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五唯一，南北通透，有钥匙，全天采光,适合度假养老居住使用户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,"：
小区生活设施，菜场，商场，银行等交通便捷，小区也有健身器材，小型球场可供小区人使用",,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道,,,,,,,
152,太湖庄园 4室3厅 南 北,380万,19961,武进区雪堰镇,太湖庄园,4室3厅1厨3卫,低楼层 (共3层),190.38㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2024-01-08,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
153,太湖庄园毛坯上叠 位置佳 前排双拼 全天采光,185万,15370,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,中楼层 (共4层),120.37㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2024-01-17,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,此房上叠，前排双拼，全天采光！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,,,,,,,,,,,,
154,太湖庄园精装洋房 采光好 家具家电齐全 拎包入住,130万,15659,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,中楼层 (共11层),83.02㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2024-01-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房楼层好，采光佳，南北通透。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
155,太湖庄园毛坯上叠 视野好 能看到部分湖景,195万,15859,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),122.96㎡,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,2024-01-20,商品房,暂无数据,别墅,暂无数据,非共有,暂无数据,未上传房本照片,此房南北通透，采光无遮挡！！！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
156,太湖庄园 2室2厅 南 北,110万,12942,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,低楼层 (共11层),85㎡,暂无数据,南 北,未知结构,其他,,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
157,湖景精装一房 看房方便 价格可谈 太湖庄园,61万,10318,武进区雪堰镇,太湖庄园,1室1厅1厨1卫,中楼层 (共8层),59.12㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-12-09,商品房,2017-01-12,普通住宅,暂无数据,共有,有抵押,已上传房本照片,适合度假养老居住使用，户型方正采光好视野好 湖景房,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯住房，免收个税。满五和唯一两个条件缺一不可。",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
158,"此房满二有钥匙采光好,出门就有公园",220万,12942,武进区雪堰镇,旷达太湖花园,3室2厅1厨3卫,高楼层 (共6层),170㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2024-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
159,太湖庄园精装未入住  看房方便 有钥匙 价咯痰,115万,13143,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,低楼层 (共11层),87.5㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2024-01-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,南北通透，小洋房，精装未入住。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
160,太湖庄园下叠毛坯 南北院子 房东诚心出售 价可谈,170万,13854,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),122.71㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2024-03-05,商品房,2021-04-21,别墅,满两年,非共有,有抵押,已上传房本照片,此房满二，南北通透，南北院子，毛坯下叠,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
161,太湖庄园精装两房 价可谈 全天采光 看房方便,105万,12651,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,低楼层 (共11层),83㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2024-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房精准修的房子，楼间距大，全天采光，南北通透,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
162,太湖湾湖景房 中楼层业主诚心出售 有钥匙,80万,8603,武进区雪堰镇,太湖湾度假村,2室2厅1厨1卫,中楼层 (共11层),93㎡,暂无数据,南,未知结构,精装,,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房中楼层 采光好视野开阔 南看湖景北看山 天然氧吧,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税",暂无数据,暂无数据,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
163,太湖湾精装小高层 在家看湖 房东诚售 有钥匙,105万,11291,武进区雪堰镇,太湖湾度假村,2室2厅1厨1卫,中楼层 (共11层),93㎡,暂无数据,南,钢混结构,精装,,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房中高楼层 采光好视野开阔 南看湖景北看山 天然氧吧,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税",暂无数据,塔楼,一梯四户,有,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
164,雪湖新苑 2室2厅 南,93万,10942,武进区雪堰镇,雪湖新苑,2室2厅1厨1卫,低楼层 (共18层),85㎡,暂无数据,南,钢混结构,其他,,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,暂无数据,板塔结合,两梯四户,有,,,,,,,,
165,太湖湾度假村精装湖景房 鸟语花香天然养吧 在家看湖,72万,12976,武进区雪堰镇,太湖湾度假村,1室1厅1厨1卫,中楼层 (共11层),55.49㎡,暂无数据,南,钢混结构,精装,,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房中高楼层 采光好视野开阔 南看湖景北看山 天然氧吧,适合任何人群，【景区】动漫嬉戏谷、灵山大佛、中华孝道园、拈花湾均，抵达影视基地三国城、水浒城,【商 业】自带7500方商圈，太滆美食街，太滆菜场，万达，太湖旅游度假区，自带17个主题特色品巷。 【银行】太滆镇农商行 中国工商银行 中国农业银行 中国建设银行 【医院】 潘家医院 雪堰医院,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税",暂无数据,塔楼,一梯四户,有,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
166,旷达太湖花园 1室1厅 南,69.8万,12218,武进区雪堰镇,旷达太湖花园,1室1厅1厨1卫,中楼层 (共5层),57.13㎡,暂无数据,南,钢混结构,其他,,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
167,竺山湖小镇 5室2厅 南,60万,12443,武进区雪堰镇,竺山湖小镇,5室2厅1厨4卫,低楼层 (共3层),48.22㎡,暂无数据,南,未知结构,其他,,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
168,太湖庄园精装两房 家具家电齐全 拎包入住 满二,88万,11648,武进区雪堰镇,太湖庄园,2室1厅1厨1卫,中楼层 (共11层),75.55㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-12-19,商品房,2021-06-29,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房楼层好，中间楼层，全天采光，精装未入住,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
169,太湖湾湖景房 在家看湖 业主诚心出售 有钥匙,58万,10451,武进区雪堰镇,太湖湾度假村,1室1厅1厨1卫,高楼层 (共11层),55.5㎡,暂无数据,南,钢混结构,精装,,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房中高楼层 采光好视野开阔 南看湖景北看山 天然氧吧,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税",暂无数据,塔楼,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
170,雪湖新苑 3室2厅 南,158万,12742,武进区雪堰镇,雪湖新苑,3室2厅1厨2卫,高楼层 (共18层),124㎡,暂无数据,南,钢混结构,精装,,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,暂无数据,板塔结合,两梯四户,有,,,,,,,,
171,采光充足，配套设施齐全，交通便利,108万,9153,武进区雪堰镇,雪湖家园,3室2厅1厨2卫,高楼层 (共6层),118㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房南北通透，楼层好，采光充足，配套设施齐全，交通便利,配套齐全，有菜场，无电梯，小区内有环型跑道，可供小区里使用，,,满两年免增值税，不满两年交5.3的增值税，不满90平交契税百分之一，满90平交契税百分之1.5,暂无数据,板塔结合,暂无数据,暂无数据,,此房前面无遮挡，采光好，户型方正，三开间朝南，每个房间都有窗，,,,,,,
172,望湖怡景 2室1厅 南,110万,12644,武进区雪堰镇,望湖怡景,2室1厅1厨1卫,中楼层 (共18层),87㎡,暂无数据,南,钢混结构,精装,,暂无数据,2024-03-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,暂无数据,板塔结合,两梯三户,有,,,,,,,,
173,雪湖家园 3室2厅 南 北,109万,9257,武进区雪堰镇,雪湖家园,3室2厅1厨2卫,高楼层 (共6层),117.76㎡,暂无数据,南 北,钢混结构,其他,,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,暂无数据,板塔结合,两梯两户,有,,,,,,,,
174,太湖庄园毛坯下叠 南北院子 价可谈 南北通透 全天采光,185万,15417,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),120㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2024-02-26,商品房,暂无数据,别墅,暂无数据,非共有,暂无数据,未上传房本照片,此房南北通透，采光好，看房方便,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,,,,,,,,,,,,
175,"此房满二有钥匙采光好,出门就有公园",63万,10980,武进区雪堰镇,旷达太湖花园,1室1厅1厨1卫,中楼层 (共5层),57.38㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
176,雪湖新苑 2室2厅 南,100万,11765,武进区雪堰镇,雪湖新苑,2室2厅1厨1卫,中楼层 (共18层),85㎡,暂无数据,南,钢混结构,精装,,暂无数据,2024-01-14,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,,,,,暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,,
177,此房满2楼，层采光好，出门就是公园，南北通风。,145万,11284,武进区雪堰镇,旷达福源二区,3室2厅1厨2卫,中楼层 (共18层),128.51㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2024-03-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满2，楼层采光好，出门就是公园，南北通风。,,小区生活设施，商场，菜市场，银行交通便捷，小区有健身器材，小型气场可居民使用。,满五唯一，90个平方以下税费一个点，满5唯一90个平方以上税费1.5,暂无数据,暂无数据,暂无数据,暂无数据,小区生活设施，商场，菜市场，银行交通便捷，小区有健身器材，小型气场可居民使用。,,,,,,,
178,小区环境优美，配套成熟，交通便利,160万,12500,武进区雪堰镇,旷达福源二区,3室2厅1厨2卫,低楼层 (共18层),128㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区户型周正，格局分布合理，通透性强，居住舒适南北通风,,小区生活设施齐全，商场，菜市场，银行，交通银行便捷，小区有健身器材可供小区居民使用,满五唯一，90个平方以下税费一个点，满五唯一，90个平方以上税费1.5,暂无数据,暂无数据,暂无数据,暂无数据,,,小区内停车位充足，既有地上停车场和地下停车库，小区内有24小时保安巡逻,,,,,此房是新房精装修，安排合理，全新家具，装修很温馨，无需再改动
179,太湖庄园毛坯下叠 三面大院子 东户 看房方便 价可谈,225万,18000,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共2层),125㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-12-06,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房下叠东边套，院子大，南北通透,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯住房，免收个税。满五和唯一两个条件缺一不可。",,,,,,,,,,,,
180,太湖庄园毛坯下叠 三面大院子 东户 看房方便 价可谈,225万,18000,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共2层),125㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-12-06,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房下叠东边套，院子大，南北通透,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯住房，免收个税。满五和唯一两个条件缺一不可。",,,,,,,,,,,,
