,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,税费解析,户型介绍,售房详情,装修描述,交通出行,房源核验码
119,上悦城花园 新小区 房东诚心出售 随时可看房 有钥匙,103万,12740,武进区南夏墅街道,上悦城,3室2厅1厨1卫,高楼层 (共20层),80.85㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房屋格局好 布局合理，房东诚意出售,1、小区生活设施齐，商场 菜市场 银行等 交通便捷 2、小区内有健身器材 ，可供小区居民使用 3、小区车位充足 建有地上和地下停车场 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
120,南夏墅次新小区 上悦城花园 房东诚心出售 随时可看房,99万,12245,武进区南夏墅街道,上悦城,3室2厅1厨1卫,高楼层 (共20层),80.85㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房屋格局好 布局合理，房东诚意出售,1、小区生活设施齐，商场 菜市场 银行等 交通便捷 2、小区内有健身器材 ，可供小区居民使用 3、小区车位充足 建有地上和地下停车场 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
121,南夏墅 上悦城 毛坯房东诚心出售 有钥匙随时可看房,101万,12493,武进区南夏墅街道,上悦城,3室2厅1厨1卫,高楼层 (共20层),80.85㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
122,南夏墅 地铁口 荣盛御府 小高层 随时看房,165万,12314,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,高楼层 (共11层),134㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
123,高新区地铁口新城都荟洋房毛坯三房采光充足房东诚售,165万,13866,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,高楼层 (共11层),119㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-08-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,地铁口新小区，品质洋房社区，视野宽阔，配套齐全，交通便利,小区环境优美，人车分流，楼间距大，小区是洋房和小高层为主，小区南门自带商铺，可以满足日常需求,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
124,地铁口阳湖站南湖家苑 精装三室边户保养如新拎包即住,135万,11222,武进区南夏墅街道,南湖家苑二期,3室2厅1厨2卫,高楼层 (共18层),120.3㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-03-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,户型方正全朝南明亮通透视野好 设施配套齐全,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
125,高新区地铁口阳湖站南湖家苑 三开间朝南二室诚心出售,90万,10265,武进区南夏墅街道,南湖家苑二期,2室2厅1厨1卫,低楼层 (共18层),87.68㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,四梯三户,有,暂无数据,2023-03-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元,未上传房本照片,户型方正全朝南明亮通透视野好 设施配套齐全,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
126,南夏墅地铁口荣盛御府毛坯采光佳楼层好户型方正，看..,142万,11270,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,高楼层 (共11层),126㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-01-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,南夏墅地铁口荣盛御府，毛坯，采光佳，楼层好，户型方正，看..,小区环境优美，绿化覆盖率高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 2、小区地理位置优越，交通便捷，四通发达，设施齐全，生活便利,小区商圈：百悦城广场，地铁口一号线、大润发等，东边有大面积绿地公园，方便休闲、活动。,,户型周正，格局分布合理，空间感好，通透性好，适宜居住； 2、楼层好，朝向南北，视野开阔，采光透亮,,,,
127,南夏墅中梁百悦城 精装边户三房房东未曾入住 全天采光,155万,14623,武进区南夏墅街道,中梁百悦城,3室2厅1厨2卫,低楼层 (共18层),106㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元,未上传房本照片,户型方正全朝南明亮通透视野好 设施配套齐全,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
128,南湖家苑二期 地铁口交通便利 业主诚心出售,103万,10843,武进区南夏墅街道,南湖家苑二期,2室2厅1厨1卫,高楼层 (共18层),95㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型方正，看房方便，随时可以看房。,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,,,,,
129,业主诚心出售 南夏墅品质小区 中梁百悦城毛坯三房,130万,12265,武进区南夏墅街道,中梁百悦城,3室2厅1厨2卫,中楼层 (共18层),106㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"户型好,格局好,采光充足，交通便利","1:小区生活实施齐全，商场,菜市场,银行等。2:小区内有健身器材,小型篮球 场，可供小区居民使用。3 :小区停车位充足,建有地面临时停车位以及底下停车 位。4 :小区内24小时保安巡逻。",,"1契税:首套房成交价的1.5% ,二套房成交价的2% ,三套房成交价的3%。增值税:满2年免征,不满2年成交额征收5.6%。个税:不满5年征收1%","1:户型方正,格局分布合理,空间感好,通透性强,居住舒适。2:楼层佳,朝向南北,视野开阔，采光充沛。3:小区环境优美,绿化覆盖面积高,干净整洁,内有建设器材和娱乐场所,物业态度较好",,,,
130,南夏墅品质小区 中梁百悦城毛坯三房 可随时看房,120万,13803,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,中楼层 (共18层),86.94㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,"户型好,格局好,采光充足，交通便利","1:小区生活实施齐全，商场,菜市场,银行等。2:小区内有健身器材,小型篮球 场，可供小区居民使用。3 :小区停车位充足,建有地面临时停车位以及底下停车 位。4 :小区内24小时保安巡逻。",,"1契税:首套房成交价的1.5% ,二套房成交价的2% ,三套房成交价的3%。增值税:满2年免征,不满2年成交额征收5.6%。个税:不满5年征收1%","1:户型方正,格局分布合理,空间感好,通透性强,居住舒适。2:楼层佳,朝向南北,视野开阔，采光充沛。3:小区环境优美,绿化覆盖面积高,干净整洁,内有建设器材和娱乐场所,物业态度较好",,,,
131,诚心出售 南夏墅品质小区 百悦城毛坯三房 楼层好,100万,11628,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,中楼层 (共17层),86㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
132,南夏墅品质小区 中梁百悦城毛坯三房 可随时看房采光好,117万,11383,武进区南夏墅街道,中梁百悦城,3室2厅1厨2卫,中楼层 (共18层),102.79㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,"户型好,格局好,采光充足，交通便利","1:小区生活实施齐全，商场,菜市场,银行等。2:小区内有健身器材,小型篮球 场，可供小区居民使用。3 :小区停车位充足,建有地面临时停车位以及底下停车 位。4 :小区内24小时保安巡逻。",,"1契税:首套房成交价的1.5% ,二套房成交价的2% ,三套房成交价的3%。增值税:满2年免征,不满2年成交额征收5.6%。个税:不满5年征收1%","1:户型方正,格局分布合理,空间感好,通透性强,居住舒适。2:楼层佳,朝向南北,视野开阔，采光充沛。3:小区环境优美,绿化覆盖面积高,干净整洁,内有建设器材和娱乐场所,物业态度较好",,,,
133,诚心出售 南夏墅地铁口 荣盛御府毛坯三房 有钥匙看房,100万,10199,武进区南夏墅街道,荣盛御府,2室2厅1厨2卫,低楼层 (共11层),98.05㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,两梯两户,有,暂无数据,2023-08-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元,未上传房本照片,房东诚心出售，户型方正，通透性好，采光无遮挡。,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
134,诚心出售 中梁百悦城毛坯3房 户型好 进出方便 无遮挡,92万,10583,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,低楼层 (共18层),86.94㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 2万元,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,
135,诚心出售 南夏墅品质小区 中梁百悦城毛坯三房 有钥匙,95万,10747,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,低楼层 (共18层),88.4㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正 三房朝南加客厅朝南 中高楼层采光好 配套齐全,小区生活设施齐商场菜市场银行等交通便捷2小区内有健身器材小型篮球场可供小区居民使用3小区内停车位充足建有地下停车场人车分流 小区内24小时保安巡逻,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,
136,上悦城 南夏墅次新小区 纯毛坯 有钥匙 房东诚售,103万,12742,武进区南夏墅街道,上悦城,3室2厅1厨1卫,中楼层 (共20层),80.84㎡,暂无数据,59.03㎡,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-09,商品房,2023-07-03,普通住宅,未满两年,非共有,有抵押 5万元 工商银行 客户偿还,已上传房本照片,房东诚心出售，户型方正，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
137,南夏墅 户型方正 装修好，满五唯一省个税,103万,10619,武进区南夏墅街道,南湖家苑二期,2室1厅1厨1卫,高楼层 (共18层),97㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正 业主诚意出售 满五唯一省个人所得税,小区生活设施齐，商场、市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
138,高新区地铁口阳湖站门口南湖家苑 精装二室业主诚心售,100万,10527,武进区南夏墅街道,南湖家苑二期,2室2厅1厨1卫,中楼层 (共18层),95㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一 户型方正全朝南明亮通透视野好 设施配套齐全,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
139,上悦城 户型方正，采光无遮挡，通透性好,102万,12593,武进区南夏墅街道,上悦城,2室2厅1厨1卫,低楼层 (共20层),81㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 67万元 中国银行 客户偿还,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，纯毛坯,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
140,商场边百悦城，中间楼层，毛坯，置换急售，看房随时,115万,13222,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,中楼层 (共17层),86.98㎡,暂无数据,暂无数据,暂无数据,北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局合理空间感好，居住舒适。楼层佳,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,小区生活设施齐，商场菜市场、银行等，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,
141,南湖家苑二期 2室2厅 南,95.4万,10000,武进区南夏墅街道,南湖家苑二期,2室2厅1厨1卫,高楼层 (共18层),95.34㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-08-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,
142,房东诚心出售，户型方正采光无遮挡，通透性好好楼层,133.9万,13664,武进区南夏墅街道,新城都荟,3室2厅1厨1卫,中楼层 (共20层),98㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,十八梯两户,有,暂无数据,2023-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
143,南夏墅上悦城房屋格局好 布局合理，房东诚意出售,126万,15556,武进区南夏墅街道,上悦城,3室2厅1厨1卫,中楼层 (共20层),81㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,房屋格局好 布局合理，房东诚意出售,1、小区生活设施齐，商场 菜市场 银行等 交通便捷 2、小区内有健身器材 ，可供小区居民使用 3、小区车位充足 建有地上和地下停车场 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
144,高新区南夏墅嘉宏蓝爵三房两卫采光充足房东诚售,140万,14307,武进区南夏墅街道,嘉宏蓝爵,3室2厅1厨2卫,低楼层 (共17层),97.86㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,采光佳，环境好，靠公园，楼层好，户型不错 随时可看,1、小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
145,新城都荟 满二自住房 房东诚心出售,135万,11250,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,高楼层 (共7层),120㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,一梯两户,有,暂无数据,2023-10-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,
146,东边户 户型方正  景观楼层 房东诚心出售 随时可看房,190万,14180,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共11层),134㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正 三房朝南加客厅朝南 中高楼层采光好 东边户,小区生活设施齐商场菜市场银行等交通便捷2小区内有健身器材小型篮球场可供小区居民使用3小区内停车位充足建有地下停车场人车分流 地上24小时保安巡逻,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,
147,中梁百悦城 户型方正 精装领包入住 随时可看房,156万,13463,武进区南夏墅街道,中梁百悦城,4室2厅1厨2卫,低楼层 (共18层),115.88㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,力荐好房  无遮挡 位置佳 通风好 房东诚售,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：其他统一1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
